日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-12-29,'600722,金牛化工,7.21,7.27,6.97,7.0,6.99,0.22,3.1474,1.8246,12413150,88833160.0,4905104863.96,4905104863.96,None
2017-12-28,'600722,金牛化工,6.99,7.07,6.95,7.0,7.01,-0.02,-0.2853,0.969,6592096,46234658.0,4755434535.24,4755434535.24,None
2017-12-27,'600722,金牛化工,7.01,7.16,6.96,7.0,7.0,0.01,0.1429,1.3317,9059540,63776541.0,4769040928.76,4769040928.76,None
2017-12-26,'600722,金牛化工,7.0,7.08,6.79,6.87,6.96,0.04,0.5747,1.3438,9142247,63310049.0,4762237732.0,4762237732.0,None
2017-12-25,'600722,金牛化工,6.96,7.37,6.95,7.28,7.29,-0.33,-4.5267,1.7014,11574870,81998268.0,4735024944.96,4735024944.96,None
2017-12-22,'600722,金牛化工,7.29,7.4,7.25,7.28,7.39,-0.1,-1.3532,1.3516,9195239,67336645.0,4959530438.04,4959530438.04,None
2017-12-21,'600722,金牛化工,7.39,7.71,7.24,7.71,7.86,-0.47,-5.9796,3.1035,21113764,156464116.0,5027562405.64,5027562405.64,None
2017-12-20,'600722,金牛化工,7.86,8.14,7.8,8.1,8.06,-0.2,-2.4814,2.2783,15499700,124056945.0,5347312653.36,5347312653.36,None
2017-12-19,'600722,金牛化工,8.06,8.16,7.92,7.95,8.03,0.03,0.3736,2.8536,19413556,156113929.0,5483376588.56,5483376588.56,None
2017-12-18,'600722,金牛化工,8.03,8.15,7.72,7.77,7.86,0.17,2.1628,2.8775,19576327,155395604.0,5462966998.28,5462966998.28,None
2017-12-15,'600722,金牛化工,7.86,7.93,7.56,7.79,7.75,0.11,1.4194,2.564,17443363,135587915.0,5347312653.36,5347312653.36,None
2017-12-14,'600722,金牛化工,7.75,8.04,7.72,7.86,7.93,-0.18,-2.2699,2.4069,16374873,128339971.0,5272477489.0,5272477489.0,None
2017-12-13,'600722,金牛化工,7.93,8.18,7.55,7.77,7.81,0.12,1.5365,3.2057,21809223,171499515.0,5394935030.68,5394935030.68,None
2017-12-12,'600722,金牛化工,7.81,8.0,7.68,7.99,7.98,-0.17,-2.1303,2.1628,14713933,115196409.0,5313296669.56,5313296669.56,None
2017-12-11,'600722,金牛化工,7.98,8.04,7.8,7.88,8.04,-0.06,-0.7463,2.3146,15746922,124797135.0,5428951014.48,5428951014.48,None
