»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2017-12-29,'000043,≥¨¥Û≈Ã,2481.9037,2489.6079,2472.2038,2478.3144,2475.8631,6.0406,0.244,,14041316,26592918415.0,,,None
2017-12-28,'000043,≥¨¥Û≈Ã,2475.8631,2487.7199,2454.51,2464.2621,2461.6267,14.2364,0.5783,,16327557,33634795833.0,,,None
2017-12-27,'000043,≥¨¥Û≈Ã,2461.6267,2493.0966,2455.7744,2488.3311,2490.9305,-29.3038,-1.1764,,15255330,29106445391.0,,,None
2017-12-26,'000043,≥¨¥Û≈Ã,2490.9305,2493.1978,2470.6789,2476.5328,2479.2684,11.6621,0.4704,,13457299,23573040935.0,,,None
2017-12-25,'000043,≥¨¥Û≈Ã,2479.2684,2498.364,2472.1193,2480.2359,2479.3827,-0.1143,-0.0046,,12400457,24334632011.0,,,None
2017-12-22,'000043,≥¨¥Û≈Ã,2479.3827,2487.1552,2477.1601,2482.0883,2483.7808,-4.3981,-0.1771,,9498761,17541591759.0,,,None
2017-12-21,'000043,≥¨¥Û≈Ã,2483.7808,2492.3479,2464.5109,2471.9567,2478.5829,5.1979,0.2097,,12572947,24568021428.0,,,None
2017-12-20,'000043,≥¨¥Û≈Ã,2478.5829,2488.695,2468.4629,2480.516,2477.2414,1.3415,0.0542,,15168058,28114323624.0,,,None
2017-12-19,'000043,≥¨¥Û≈Ã,2477.2414,2478.5137,2453.471,2454.4317,2456.395,20.8464,0.8487,,12840617,25899479633.0,,,None
2017-12-18,'000043,≥¨¥Û≈Ã,2456.395,2462.905,2443.7622,2448.6741,2447.3293,9.0657,0.3704,,11050842,19513786311.0,,,None
2017-12-15,'000043,≥¨¥Û≈Ã,2447.3293,2465.0369,2443.4194,2464.4559,2469.1459,-21.8166,-0.8836,,14476904,23319246507.0,,,None
2017-12-14,'000043,≥¨¥Û≈Ã,2469.1459,2489.0307,2463.5527,2486.1037,2481.6237,-12.4778,-0.5028,,11447996,19951712105.0,,,None
2017-12-13,'000043,≥¨¥Û≈Ã,2481.6237,2485.8406,2454.7114,2461.4413,2462.5721,19.0516,0.7736,,11047747,21758411165.0,,,None
2017-12-12,'000043,≥¨¥Û≈Ã,2462.5721,2499.019,2461.1914,2496.338,2497.256,-34.6839,-1.3889,,13731327,23289688929.0,,,None
2017-12-11,'000043,≥¨¥Û≈Ã,2497.256,2498.1586,2470.9553,2473.1029,2473.5123,23.7437,0.9599,,15182972,29604422490.0,,,None
2017-12-08,'000043,≥¨¥Û≈Ã,2473.5123,2480.9277,2454.9741,2461.8787,2469.4052,4.1071,0.1663,,11901604,24028594654.0,,,None
2017-12-07,'000043,≥¨¥Û≈Ã,2469.4052,2491.0373,2456.7816,2479.9937,2487.7769,-18.3717,-0.7385,,13603851,24902634852.0,,,None
2017-12-06,'000043,≥¨¥Û≈Ã,2487.7769,2500.747,2468.5813,2500.747,2513.7585,-25.9816,-1.0336,,14867662,29147481547.0,,,None
2017-12-05,'000043,≥¨¥Û≈Ã,2513.7585,2521.9031,2472.8254,2473.809,2478.7383,35.0202,1.4128,,26439392,45830406668.0,,,None
2017-12-04,'000043,≥¨¥Û≈Ã,2478.7383,2482.5741,2455.074,2458.4875,2468.1954,10.5429,0.4272,,12499525,25644880227.0,,,None
2017-12-01,'000043,≥¨¥Û≈Ã,2468.1954,2479.1967,2457.8139,2476.576,2478.2333,-10.0379,-0.405,,14244694,28854130228.0,,,None
2017-11-30,'000043,≥¨¥Û≈Ã,2478.2333,2508.4567,2468.6346,2484.8921,2498.0366,-19.8033,-0.7928,,17637901,31913643941.0,,,None
2017-11-29,'000043,≥¨¥Û≈Ã,2498.0366,2512.3559,2471.7286,2509.6545,2505.8605,-7.8239,-0.3122,,17315680,29434401461.0,,,None
2017-11-28,'000043,≥¨¥Û≈Ã,2505.8605,2518.7784,2487.8727,2508.5352,2521.4527,-15.5922,-0.6184,,16405164,28516189839.0,,,None
2017-11-27,'000043,≥¨¥Û≈Ã,2521.4527,2536.536,2507.2776,2535.6171,2542.1411,-20.6884,-0.8138,,26022755,45241733594.0,,,None
2017-11-24,'000043,≥¨¥Û≈Ã,2542.1411,2556.7338,2522.4626,2545.0165,2552.1251,-9.984,-0.3912,,24357577,43097013243.0,,,None
2017-11-23,'000043,≥¨¥Û≈Ã,2552.1251,2606.5625,2538.9132,2605.2194,2609.6236,-57.4985,-2.2033,,35187539,59217646721.0,,,None
2017-11-22,'000043,≥¨¥Û≈Ã,2609.6236,2614.5837,2574.14,2574.2573,2566.945,42.6786,1.6626,,39109940,65195289814.0,,,None
2017-11-21,'000043,≥¨¥Û≈Ã,2566.945,2578.838,2520.3348,2521.0881,2531.1297,35.8153,1.415,,29517029,55827920606.0,,,None
2017-11-20,'000043,≥¨¥Û≈Ã,2531.1297,2532.3639,2497.4495,2510.6118,2530.6789,0.4508,0.0178,,21035565,40743408996.0,,,None
2017-11-17,'000043,≥¨¥Û≈Ã,2530.6789,2532.294,2478.4278,2478.4278,2494.7945,35.8844,1.4384,,32607844,59434502165.0,,,None
2017-11-16,'000043,≥¨¥Û≈Ã,2494.7945,2499.1626,2479.6826,2480.4321,2497.2506,-2.4561,-0.0984,,14879169,29571196624.0,,,None
2017-11-15,'000043,≥¨¥Û≈Ã,2497.2506,2503.5494,2484.6078,2491.6996,2500.8806,-3.63,-0.1451,,17035328,28636779524.0,,,None
2017-11-14,'000043,≥¨¥Û≈Ã,2500.8806,2528.1733,2497.5184,2524.917,2524.7689,-23.8883,-0.9462,,18589598,29687256294.0,,,None
2017-11-13,'000043,≥¨¥Û≈Ã,2524.7689,2534.0994,2518.3113,2524.1723,2524.9419,-0.173,-0.0069,,20494712,33066970994.0,,,None
2017-11-10,'000043,≥¨¥Û≈Ã,2524.9419,2530.9759,2511.8514,2514.8,2519.6941,5.2478,0.2083,,23053710,39454333952.0,,,None
2017-11-09,'000043,≥¨¥Û≈Ã,2519.6941,2520.3896,2502.2985,2506.9627,2509.1823,10.5118,0.4189,,18254463,26580640077.0,,,None
2017-11-08,'000043,≥¨¥Û≈Ã,2509.1823,2524.1844,2502.8041,2513.7961,2517.4014,-8.2191,-0.3265,,23204459,34700827449.0,,,None
2017-11-07,'000043,≥¨¥Û≈Ã,2517.4014,2528.7716,2490.0332,2490.0332,2488.379,29.0224,1.1663,,28565526,40997804069.0,,,None
2017-11-06,'000043,≥¨¥Û≈Ã,2488.379,2491.1631,2478.0117,2487.6536,2482.6423,5.7367,0.2311,,19925345,29673078113.0,,,None
2017-11-03,'000043,≥¨¥Û≈Ã,2482.6423,2484.6103,2457.3748,2477.7983,2480.735,1.9073,0.0769,,20402323,29773727425.0,,,None
2017-11-02,'000043,≥¨¥Û≈Ã,2480.735,2481.6886,2462.6348,2473.9953,2477.309,3.426,0.1383,,19492330,28128460236.0,,,None
2017-11-01,'000043,≥¨¥Û≈Ã,2477.309,2485.3745,2467.2186,2470.5452,2471.3603,5.9487,0.2407,,25849319,37314948167.0,,,None
2017-10-31,'000043,≥¨¥Û≈Ã,2471.3603,2479.189,2463.9281,2475.5578,2485.1996,-13.8393,-0.5569,,16785222,25858750718.0,,,None
2017-10-30,'000043,≥¨¥Û≈Ã,2485.1996,2486.4273,2453.4194,2477.9472,2479.3591,5.8405,0.2356,,26217002,40112526048.0,,,None
2017-10-27,'000043,≥¨¥Û≈Ã,2479.3591,2480.0848,2450.0257,2451.4911,2454.6499,24.7092,1.0066,,18667650,32173292021.0,,,None
2017-10-26,'000043,≥¨¥Û≈Ã,2454.6499,2463.0106,2428.1986,2432.6685,2423.8084,30.8415,1.2724,,18246877,33607615780.0,,,None
2017-10-25,'000043,≥¨¥Û≈Ã,2423.8084,2426.8908,2418.058,2423.0322,2422.9527,0.8557,0.0353,,7838942,12661179191.0,,,None
2017-10-24,'000043,≥¨¥Û≈Ã,2422.9527,2428.4613,2402.4534,2404.857,2406.5508,16.4019,0.6816,,11462476,18594299350.0,,,None
2017-10-23,'000043,≥¨¥Û≈Ã,2406.5508,2414.3948,2402.9749,2412.7105,2409.0193,-2.4685,-0.1025,,8401893,13855034613.0,,,None
2017-10-20,'000043,≥¨¥Û≈Ã,2409.0193,2415.1068,2405.2765,2414.6669,2421.198,-12.1787,-0.503,,6508906,11979268727.0,,,None
2017-10-19,'000043,≥¨¥Û≈Ã,2421.198,2424.7225,2413.5648,2424.2719,2425.8606,-4.6626,-0.1922,,11977474,20083046794.0,,,None
2017-10-18,'000043,≥¨¥Û≈Ã,2425.8606,2427.0436,2401.7079,2401.7079,2401.9872,23.8734,0.9939,,11395698,18848306707.0,,,None
2017-10-17,'000043,≥¨¥Û≈Ã,2401.9872,2408.5802,2396.0262,2401.9145,2404.3013,-2.3141,-0.0962,,7225204,13802664486.0,,,None
2017-10-16,'000043,≥¨¥Û≈Ã,2404.3013,2412.6498,2398.0249,2400.076,2396.6344,7.6669,0.3199,,11514518,20125709458.0,,,None
2017-10-13,'000043,≥¨¥Û≈Ã,2396.6344,2401.7951,2392.8653,2399.184,2402.3222,-5.6878,-0.2368,,8046708,14427626229.0,,,None
2017-10-12,'000043,≥¨¥Û≈Ã,2402.3222,2405.3637,2390.2409,2397.7985,2396.919,5.4032,0.2254,,10584865,17722435587.0,,,None
2017-10-11,'000043,≥¨¥Û≈Ã,2396.919,2401.1125,2387.3512,2388.3386,2387.4303,9.4887,0.3974,,9988138,18108148674.0,,,None
2017-10-10,'000043,≥¨¥Û≈Ã,2387.4303,2396.9727,2370.8265,2384.4919,2384.4588,2.9715,0.1246,,11614233,21929853447.0,,,None
2017-10-09,'000043,≥¨¥Û≈Ã,2384.4588,2407.7169,2383.8672,2403.87,2365.3902,19.0686,0.8062,,14498770,24684932003.0,,,None
2017-09-29,'000043,≥¨¥Û≈Ã,2365.3902,2372.3463,2357.7345,2357.8307,2355.334,10.0562,0.427,,8670911,14115786125.0,,,None
2017-09-28,'000043,≥¨¥Û≈Ã,2355.334,2358.0823,2350.85,2355.0294,2355.1011,0.2329,0.0099,,9116400,13719194931.0,,,None
2017-09-27,'000043,≥¨¥Û≈Ã,2355.1011,2363.3636,2353.8504,2360.1417,2364.4415,-9.3404,-0.395,,8658523,12791228557.0,,,None
2017-09-26,'000043,≥¨¥Û≈Ã,2364.4415,2366.2669,2357.7867,2360.2702,2362.0622,2.3793,0.1007,,8415362,12395817185.0,,,None
2017-09-25,'000043,≥¨¥Û≈Ã,2362.0622,2365.4474,2353.0887,2359.6503,2363.5422,-1.48,-0.0626,,12226999,18637186554.0,,,None
2017-09-22,'000043,≥¨¥Û≈Ã,2363.5422,2367.1217,2348.9649,2357.8269,2365.0797,-1.5375,-0.065,,10802106,16052474206.0,,,None
2017-09-21,'000043,≥¨¥Û≈Ã,2365.0797,2375.8234,2355.2923,2358.8303,2359.3571,5.7226,0.2425,,14342176,19363509585.0,,,None
2017-09-20,'000043,≥¨¥Û≈Ã,2359.3571,2365.6436,2357.3159,2359.7552,2362.5114,-3.1543,-0.1335,,10753404,16249235262.0,,,None
2017-09-19,'000043,≥¨¥Û≈Ã,2362.5114,2374.4004,2357.0154,2373.1836,2370.0492,-7.5378,-0.318,,10578333,16216082947.0,,,None
2017-09-18,'000043,≥¨¥Û≈Ã,2370.0492,2377.1183,2361.0895,2361.0895,2359.6609,10.3883,0.4402,,14814954,22276134947.0,,,None
2017-09-15,'000043,≥¨¥Û≈Ã,2359.6609,2366.8398,2351.209,2358.2582,2358.7759,0.885,0.0375,,14233571,19842047176.0,,,None
2017-09-14,'000043,≥¨¥Û≈Ã,2358.7759,2372.228,2354.3777,2367.1601,2365.8611,-7.0852,-0.2995,,10097266,15303385902.0,,,None
2017-09-13,'000043,≥¨¥Û≈Ã,2365.8611,2369.2817,2357.5534,2368.5653,2369.2273,-3.3662,-0.1421,,7753338,12539285320.0,,,None
2017-09-12,'000043,≥¨¥Û≈Ã,2369.2273,2371.4461,2360.8637,2367.8264,2363.8544,5.3729,0.2273,,11009243,17593901605.0,,,None
2017-09-11,'000043,≥¨¥Û≈Ã,2363.8544,2382.7367,2361.31,2370.7348,2372.0645,-8.2101,-0.3461,,11818733,19348979116.0,,,None
2017-09-08,'000043,≥¨¥Û≈Ã,2372.0645,2385.6589,2368.9054,2379.3561,2377.8997,-5.8352,-0.2454,,9072733,14243676308.0,,,None
2017-09-07,'000043,≥¨¥Û≈Ã,2377.8997,2397.0349,2377.5255,2397.0349,2398.634,-20.7343,-0.8644,,11579409,16652256789.0,,,None
2017-09-06,'000043,≥¨¥Û≈Ã,2398.634,2408.4319,2384.355,2398.4738,2400.4073,-1.7733,-0.0739,,15934831,21447779714.0,,,None
2017-09-05,'000043,≥¨¥Û≈Ã,2400.4073,2407.0538,2394.9987,2396.512,2398.2366,2.1707,0.0905,,10680485,16714984308.0,,,None
2017-09-04,'000043,≥¨¥Û≈Ã,2398.2366,2399.2031,2384.0251,2392.6329,2393.9435,4.2931,0.1793,,12826924,18341883828.0,,,None
2017-09-01,'000043,≥¨¥Û≈Ã,2393.9435,2411.4835,2388.4029,2398.9931,2397.3288,-3.3853,-0.1412,,17006062,24354906431.0,,,None
2017-08-31,'000043,≥¨¥Û≈Ã,2397.3288,2413.1445,2390.0364,2407.54,2406.6035,-9.2747,-0.3854,,16632212,22890475010.0,,,None
2017-08-30,'000043,≥¨¥Û≈Ã,2406.6035,2422.516,2401.6296,2412.5255,2412.3419,-5.7384,-0.2379,,16347234,23215120539.0,,,None
2017-08-29,'000043,≥¨¥Û≈Ã,2412.3419,2420.2565,2407.0772,2420.2565,2416.6855,-4.3436,-0.1797,,13222673,19789133316.0,,,None
2017-08-28,'000043,≥¨¥Û≈Ã,2416.6855,2432.7948,2403.8124,2403.8124,2399.0762,17.6093,0.734,,24723762,35715886747.0,,,None
2017-08-25,'000043,≥¨¥Û≈Ã,2399.0762,2400.7915,2364.9233,2365.5296,2364.4658,34.6104,1.4638,,19129441,25862018335.0,,,None
2017-08-24,'000043,≥¨¥Û≈Ã,2364.4658,2387.0676,2361.112,2383.2305,2384.6204,-20.1546,-0.8452,,15980982,20680789314.0,,,None
2017-08-23,'000043,≥¨¥Û≈Ã,2384.6204,2394.436,2378.2007,2381.2689,2381.7304,2.89,0.1213,,17789513,23617276361.0,,,None
2017-08-22,'000043,≥¨¥Û≈Ã,2381.7304,2382.3394,2366.684,2374.5525,2360.1384,21.592,0.9149,,14408488,22625617527.0,,,None
2017-08-21,'000043,≥¨¥Û≈Ã,2360.1384,2365.4671,2352.9729,2359.0468,2344.883,15.2554,0.6506,,7286742,13100482739.0,,,None
2017-08-18,'000043,≥¨¥Û≈Ã,2344.883,2350.2453,2335.3067,2339.3255,2344.5271,0.3559,0.0152,,7443677,15761188855.0,,,None
2017-08-17,'000043,≥¨¥Û≈Ã,2344.5271,2344.8903,2336.2832,2337.222,2332.6276,11.8995,0.5101,,8115191,12910749456.0,,,None
2017-08-16,'000043,≥¨¥Û≈Ã,2332.6276,2341.0227,2325.6277,2341.0227,2344.1888,-11.5612,-0.4932,,6511933,10861935330.0,,,None
2017-08-15,'000043,≥¨¥Û≈Ã,2344.1888,2352.7572,2339.0166,2339.8474,2341.6934,2.4954,0.1066,,7375117,14506045029.0,,,None
2017-08-14,'000043,≥¨¥Û≈Ã,2341.6934,2346.2968,2321.6148,2328.062,2323.8254,17.868,0.7689,,9661495,18386740871.0,,,None
2017-08-11,'000043,≥¨¥Û≈Ã,2323.8254,2358.5277,2322.7842,2347.8622,2359.085,-35.2596,-1.4946,,11910696,21646973648.0,,,None
2017-08-10,'000043,≥¨¥Û≈Ã,2359.085,2370.4628,2342.6201,2357.046,2357.1626,1.9224,0.0816,,9964196,19294934412.0,,,None
2017-08-09,'000043,≥¨¥Û≈Ã,2357.1626,2366.8388,2350.157,2355.773,2356.1181,1.0445,0.0443,,8727416,16425748250.0,,,None
2017-08-08,'000043,≥¨¥Û≈Ã,2356.1181,2361.5125,2351.0948,2356.2401,2357.3851,-1.267,-0.0537,,8271460,13347364857.0,,,None
2017-08-07,'000043,≥¨¥Û≈Ã,2357.3851,2362.4675,2339.9527,2343.3382,2350.9852,6.3999,0.2722,,8796792,14857692244.0,,,None
2017-08-04,'000043,≥¨¥Û≈Ã,2350.9852,2360.418,2347.7496,2351.5762,2353.198,-2.2128,-0.094,,10432229,18281272203.0,,,None
2017-08-03,'000043,≥¨¥Û≈Ã,2353.198,2385.914,2351.5747,2377.253,2380.5118,-27.3138,-1.1474,,11323839,19100347178.0,,,None
2017-08-02,'000043,≥¨¥Û≈Ã,2380.5118,2397.3342,2378.9186,2389.8384,2394.1038,-13.592,-0.5677,,14318647,23262496506.0,,,None
2017-08-01,'000043,≥¨¥Û≈Ã,2394.1038,2394.5216,2366.7474,2372.7923,2370.5692,23.5346,0.9928,,12670930,22604762479.0,,,None
2017-07-31,'000043,≥¨¥Û≈Ã,2370.5692,2377.6067,2363.2586,2366.3732,2366.8977,3.6715,0.1551,,9587167,16686232324.0,,,None
2017-07-28,'000043,≥¨¥Û≈Ã,2366.8977,2372.4104,2355.0552,2360.3539,2366.7354,0.1623,0.0069,,7159445,13324736706.0,,,None
2017-07-27,'000043,≥¨¥Û≈Ã,2366.7354,2372.1499,2351.4399,2371.0068,2371.2501,-4.5147,-0.1904,,11028878,17717923252.0,,,None
2017-07-26,'000043,≥¨¥Û≈Ã,2371.2501,2392.6992,2358.583,2379.5576,2380.6213,-9.3712,-0.3936,,12037882,20117693930.0,,,None
2017-07-25,'000043,≥¨¥Û≈Ã,2380.6213,2399.3668,2377.2737,2394.8411,2395.2103,-14.589,-0.6091,,11733991,18445144992.0,,,None
2017-07-24,'000043,≥¨¥Û≈Ã,2395.2103,2405.0712,2376.6188,2382.2596,2384.0866,11.1237,0.4666,,13580014,23627856903.0,,,None
2017-07-21,'000043,≥¨¥Û≈Ã,2384.0866,2402.2564,2380.0999,2393.9421,2398.177,-14.0904,-0.5875,,13234865,24284776629.0,,,None
2017-07-20,'000043,≥¨¥Û≈Ã,2398.177,2398.8627,2386.1561,2390.8012,2396.1199,2.0571,0.0859,,14136369,23146591716.0,,,None
2017-07-19,'000043,≥¨¥Û≈Ã,2396.1199,2399.3644,2372.3213,2373.6571,2377.8234,18.2965,0.7695,,19997208,31370735334.0,,,None
2017-07-18,'000043,≥¨¥Û≈Ã,2377.8234,2378.4604,2352.508,2360.63,2370.919,6.9044,0.2912,,17159099,26187229080.0,,,None
2017-07-17,'000043,≥¨¥Û≈Ã,2370.919,2387.4997,2336.3422,2369.2277,2366.3797,4.5393,0.1918,,21310660,34450376903.0,,,None
2017-07-14,'000043,≥¨¥Û≈Ã,2366.3797,2366.6856,2347.1259,2351.3308,2350.1409,16.2388,0.691,,14273360,20986503068.0,,,None
2017-07-13,'000043,≥¨¥Û≈Ã,2350.1409,2351.7501,2321.2927,2323.2277,2322.1885,27.9524,1.2037,,18853546,27324426283.0,,,None
2017-07-12,'000043,≥¨¥Û≈Ã,2322.1885,2342.9579,2314.1056,2323.9133,2320.52,1.6685,0.0719,,14500062,24047833248.0,,,None
2017-07-11,'000043,≥¨¥Û≈Ã,2320.52,2335.1537,2304.358,2304.6891,2306.8283,13.6917,0.5935,,12075726,21449674532.0,,,None
2017-07-10,'000043,≥¨¥Û≈Ã,2306.8283,2313.2698,2288.8567,2296.4319,2298.6469,8.1814,0.3559,,10312892,16902370128.0,,,None
2017-07-07,'000043,≥¨¥Û≈Ã,2298.6469,2304.1707,2289.3252,2301.6652,2307.6153,-8.9684,-0.3886,,7873833,15009796589.0,,,None
2017-07-06,'000043,≥¨¥Û≈Ã,2307.6153,2311.8929,2293.1681,2302.0972,2304.862,2.7533,0.1195,,9760264,20272150629.0,,,None
2017-07-05,'000043,≥¨¥Û≈Ã,2304.862,2307.0196,2279.8857,2281.3515,2282.2557,22.6063,0.9905,,9082923,19004613885.0,,,None
2017-07-04,'000043,≥¨¥Û≈Ã,2282.2557,2294.9112,2279.3702,2294.8205,2297.5895,-15.3338,-0.6674,,10116643,18321691208.0,,,None
2017-07-03,'000043,≥¨¥Û≈Ã,2297.5895,2308.7176,2288.2244,2308.4716,2308.3264,-10.7369,-0.4651,,7017999,14312986941.0,,,None
2017-06-30,'000043,≥¨¥Û≈Ã,2308.3264,2310.5121,2296.1219,2302.9578,2310.7708,-2.4444,-0.1058,,7475651,13334543894.0,,,None
2017-06-29,'000043,≥¨¥Û≈Ã,2310.7708,2311.6774,2298.4071,2303.5191,2301.318,9.4528,0.4108,,8469480,16446903149.0,,,None
2017-06-28,'000043,≥¨¥Û≈Ã,2301.318,2320.5739,2300.0979,2310.7048,2315.4,-14.082,-0.6082,,12080712,20864317555.0,,,None
2017-06-27,'000043,≥¨¥Û≈Ã,2315.4,2318.1671,2295.8626,2302.8597,2304.5589,10.8411,0.4704,,10976942,19304115218.0,,,None
2017-06-26,'000043,≥¨¥Û≈Ã,2304.5589,2314.4268,2294.2491,2294.3911,2292.2962,12.2627,0.535,,14435722,26187410843.0,,,None
2017-06-23,'000043,≥¨¥Û≈Ã,2292.2962,2292.8652,2265.2767,2277.6242,2283.3838,8.9124,0.3903,,12267990,21253484090.0,,,None
2017-06-22,'000043,≥¨¥Û≈Ã,2283.3838,2302.4146,2260.9533,2262.4569,2265.6898,17.694,0.781,,17338545,29924948002.0,,,None
2017-06-21,'000043,≥¨¥Û≈Ã,2265.6898,2266.3514,2243.4255,2255.8097,2246.2348,19.455,0.8661,,8871529,17611615490.0,,,None
2017-06-20,'000043,≥¨¥Û≈Ã,2246.2348,2260.0648,2242.0714,2257.8005,2253.5729,-7.3381,-0.3256,,7083095,13466825657.0,,,None
2017-06-19,'000043,≥¨¥Û≈Ã,2253.5729,2255.2801,2232.6582,2234.0264,2232.2391,21.3338,0.9557,,7552930,14919802293.0,,,None
2017-06-16,'000043,≥¨¥Û≈Ã,2232.2391,2247.6188,2229.2599,2240.0151,2252.2399,-20.0008,-0.888,,6966285,13867409990.0,,,None
2017-06-15,'000043,≥¨¥Û≈Ã,2252.2399,2265.5109,2244.6378,2258.9887,2262.2538,-10.0139,-0.4427,,8762231,17526978861.0,,,None
2017-06-14,'000043,≥¨¥Û≈Ã,2262.2538,2284.3853,2259.9136,2284.3853,2295.4137,-33.1599,-1.4446,,10638030,18272734119.0,,,None
2017-06-13,'000043,≥¨¥Û≈Ã,2295.4137,2296.64,2280.0034,2291.2487,2294.1772,1.2365,0.0539,,7758494,14433299246.0,,,None
2017-06-12,'000043,≥¨¥Û≈Ã,2294.1772,2311.3513,2288.5608,2292.8158,2296.3973,-2.2201,-0.0967,,11166698,19555781743.0,,,None
2017-06-09,'000043,≥¨¥Û≈Ã,2296.3973,2309.8868,2279.2914,2279.2914,2279.9856,16.4117,0.7198,,15765838,24461058387.0,,,None
2017-06-08,'000043,≥¨¥Û≈Ã,2279.9856,2282.6101,2253.881,2258.2096,2261.4455,18.5401,0.8198,,10437311,18298568088.0,,,None
2017-06-07,'000043,≥¨¥Û≈Ã,2261.4455,2267.1125,2246.6232,2250.0583,2247.3706,14.0749,0.6263,,12289633,20400705703.0,,,None
2017-06-06,'000043,≥¨¥Û≈Ã,2247.3706,2247.8382,2225.3558,2228.3401,2230.1786,17.192,0.7709,,7696022,14006161379.0,,,None
2017-06-05,'000043,≥¨¥Û≈Ã,2230.1786,2249.4444,2224.2789,2245.6211,2250.6412,-20.4626,-0.9092,,10177850,16334324260.0,,,None
2017-06-02,'000043,≥¨¥Û≈Ã,2250.6412,2265.119,2245.2076,2264.798,2265.5514,-14.9102,-0.6581,,10820385,16841817069.0,,,None
2017-06-01,'000043,≥¨¥Û≈Ã,2265.5514,2266.7938,2236.5377,2245.0842,2250.1702,15.3812,0.6836,,14932037,22064307547.0,,,None
2017-05-31,'000043,≥¨¥Û≈Ã,2250.1702,2260.1411,2232.8232,2242.4142,2242.9846,7.1856,0.3204,,13725237,21998436657.0,,,None
2017-05-26,'000043,≥¨¥Û≈Ã,2242.9846,2252.8269,2235.7165,2241.4122,2245.0481,-2.0635,-0.0919,,15661533,22241072509.0,,,None
2017-05-25,'000043,≥¨¥Û≈Ã,2245.0481,2245.6657,2190.1747,2190.3303,2196.3434,48.7047,2.2175,,21659767,31326232633.0,,,None
2017-05-24,'000043,≥¨¥Û≈Ã,2196.3434,2198.0894,2172.493,2190.7197,2199.1531,-2.8097,-0.1278,,11428328,18251566158.0,,,None
2017-05-23,'000043,≥¨¥Û≈Ã,2199.1531,2199.4238,2173.0475,2174.599,2178.5662,20.5869,0.945,,17328317,24845374828.0,,,None
2017-05-22,'000043,≥¨¥Û≈Ã,2178.5662,2183.7583,2160.9914,2167.9344,2167.2373,11.3289,0.5227,,12527848,18536029528.0,,,None
2017-05-19,'000043,≥¨¥Û≈Ã,2167.2373,2168.8991,2156.9787,2157.0976,2159.9461,7.2912,0.3376,,7903229,12216715587.0,,,None
2017-05-18,'000043,≥¨¥Û≈Ã,2159.9461,2163.9574,2152.0611,2154.6489,2165.986,-6.0399,-0.2789,,8569914,12179261128.0,,,None
2017-05-17,'000043,≥¨¥Û≈Ã,2165.986,2179.5,2163.924,2174.2859,2177.2296,-11.2436,-0.5164,,10073988,14987031230.0,,,None
2017-05-16,'000043,≥¨¥Û≈Ã,2177.2296,2177.587,2152.6516,2172.1859,2176.4606,0.769,0.0353,,11741083,16923186100.0,,,None
2017-05-15,'000043,≥¨¥Û≈Ã,2176.4606,2185.7425,2174.2944,2175.8879,2170.9,5.5606,0.2561,,11711491,17078262892.0,,,None
2017-05-12,'000043,≥¨¥Û≈Ã,2170.9,2172.9242,2147.0653,2148.1043,2151.8508,19.0492,0.8852,,13388262,19555821451.0,,,None
2017-05-11,'000043,≥¨¥Û≈Ã,2151.8508,2156.247,2127.903,2132.2146,2138.7249,13.1259,0.6137,,15064191,19231852482.0,,,None
2017-05-10,'000043,≥¨¥Û≈Ã,2138.7249,2163.6474,2136.8901,2153.2003,2151.9155,-13.1906,-0.613,,11479094,18429581707.0,,,None
2017-05-09,'000043,≥¨¥Û≈Ã,2151.9155,2158.2217,2143.896,2152.2839,2165.4029,-13.4874,-0.6229,,8531512,13091883350.0,,,None
2017-05-08,'000043,≥¨¥Û≈Ã,2165.4029,2166.5275,2140.3221,2162.0062,2172.2464,-6.8435,-0.315,,18481752,23738298633.0,,,None
2017-05-05,'000043,≥¨¥Û≈Ã,2172.2464,2176.8002,2157.4647,2173.734,2179.7864,-7.54,-0.3459,,15926707,20091329600.0,,,None
2017-05-04,'000043,≥¨¥Û≈Ã,2179.7864,2191.2461,2167.3773,2177.6346,2182.8744,-3.088,-0.1415,,12285098,15264175633.0,,,None
2017-05-03,'000043,≥¨¥Û≈Ã,2182.8744,2197.3926,2178.2266,2190.7543,2191.4212,-8.5468,-0.39,,10470286,13439896555.0,,,None
2017-05-02,'000043,≥¨¥Û≈Ã,2191.4212,2203.0753,2188.9214,2195.482,2198.9686,-7.5474,-0.3432,,8490439,12143653454.0,,,None
2017-04-28,'000043,≥¨¥Û≈Ã,2198.9686,2202.4055,2186.5077,2201.4537,2208.7565,-9.7879,-0.4431,,11148365,16653305726.0,,,None
2017-04-27,'000043,≥¨¥Û≈Ã,2208.7565,2209.9003,2173.5367,2194.407,2202.0737,6.6828,0.3035,,16763903,21371844212.0,,,None
2017-04-26,'000043,≥¨¥Û≈Ã,2202.0737,2221.566,2201.3029,2211.8409,2211.4167,-9.343,-0.4225,,14099985,21654280023.0,,,None
